ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
533	n	207.01645	206.00917	M-H	1.025	206.00917_1.025	C9 H5 N O5	137731.3745	205821.1733		97370.16361	4608.87967		350599.1892	54696.49663
534	n	245.07228	244.06502	M-H	1.03	244.06502_1.03	C4 H16 N5 O3 P S	101869.3924	79916.40658		18925.53179	2065.099716		384.2151177	4702.397781
535	n	367.0912	366.08398	M-H	1.035	366.08398	C9 H19 N7 O5 P2	5754.845813	35993.20036		27773.48954	12754.82671		164921.3969	211046.4435
536	n	215.06515	214.05789	M-H	1.035	214.05789_1.035	C5 H13 N O8	7443.163495	11503.92866		94550.3702	28053.46859		195772.9033	12118.21545
537	n	142.49614	141.48886	M-H	1.043	141.48886_1.043		23439.82034	49564.12438		38866.49543	555.2149163		153125.292	18452.38238
538	n	214.0241	213.01678	M-H	1.056	213.01678_1.056	C6 H11 Cl O6	101706.5077	179319.9		144767.0628	309893.0216		49455.15306	89745.06661
539	n	292.07191	291.06467	M-H	1.058	291.0647_1.058	C12 H17 Cl O6	52584.65081	20406.49003		11188.56152	471021.6923		9560.43635	14264.01442
540	n	240.99788	239.99065	M-H	1.07	239.99065_1.07	C6 H8 Cl N O7	18750.09698	46372.6285		242771.7291	50909.86356		252413.2895	29633.89269
541	n	183.03861	182.03131	M-H	1.074	182.03131_1.074	C5 H5 N5 O3	487751.3695	966276.6456		3024392.484	928674.4037		3312716.959	567730.673
542	n	140.03248	139.02518	M-H	1.074	139.02518_1.074	C3 H8 O6	53188.40354	140642.8797		421839.3875	93717.40031		384465.5739	63544.2003
543	n	238.07021	237.06296	M-H	1.118	Xanthopterin-B2	C9 H10 N4 O4	1041351.733	1333485.572		566666.9363	46912.99577		6536.121573	373943.0997
544	n	224.0465	223.03917	M-H	1.126	223.03917_1.126	C6 H12 N2 O5 S	1174191.612	856101.036		603674.6238	269403.6537		216690.277	403661.1199
545	n	217.0406	216.0337	M-H	1.153	tyramine sulfate	C8 H11 N O4 S	8990874.581	1674736.212		1082817.514	3286072.047		808637.9562	2254718.525
546	n	374.06239	373.05508	M-H	1.159	373.05508_1.159	C7 H16 Cl N8 O6 P	64225.37885	105153.0847		249147.1217	53230.8193		10827.87496	27434.24627
547	n	168.01967	167.01247	M-H	1.184	3-Sulfamoylalanine	C3 H8 N2 O4 S	9125.910689	37266.43551		47718.22273	63454.84254		417787.9628	61296.36043
548	n	254.05745	253.05017	M-H	1.202	5-L-Glutamyl-taurine	C7 H14 N2 O6 S	150864.2231	238452.4131		83268.84221	33881.49069		42206.18296	149112.305
549	n	180.02765	179.02037	M-H	1.203	179.02037_1.203	C5 H8 O7	4216261.711	5706538.973		1766071.623	295176.9825		102528.2383	745351.6362
550	n	211.07015	210.06293	M-H	1.204	210.06293_1.204	C6 H13 N O7	101798.9695	127417.2693		39934.01452	8492.562695		7722.097015	12469.69884
551	n	217.04054	216.03317	M-H	1.217	tyramine sulfate	C8 H11 N O4 S	23539821.99	3192382.863		1978220.388	5636629.159		1237317.273	3771575.984
552	n	274.99995	273.99271	M-H	1.225	273.99271_1.225	C4 H13 N5 O S4	629908.1207	93096.29855		54324.83989	94742.97861		14527.26131	137755.9692
553	n	188.05401	187.04674	M-H	1.225	187.0467_1.225	C5 H8 N4 O4	32989.78552	6995.800263		112295.0148	31567.69859		49496.49302	482339.7253
554	n	219.03634	218.02904	M-H	1.24	218.02904_1.24	C11 H11 N P2	597905.143	96666.65955		68807.84597	186462.5264		31594.55654	139038.778
555	n	140.99087	139.98358	M-H	1.245	139.9836_1.245	C H3 N O7	167225.9875	88709.35601		100010.0919	35695.73859		120628.0447	99750.93218
556	n	137.08296	136.07568	M-H	1.247	136.0757_1.247		165595.3189	31609.05356		16827.80103	27598.31105		14639.82127	31000.8253
557	n	470.05925	469.05197	M-H	1.248	469.05197_1.248	C14 H28 Cl O9 P S2	83364.89243	3225.426074		544.5951699	3066.54554		498.5519301	3356.049951
558	n	456.06462	455.05734	M-H	1.25	455.05734_1.25	C10 H16 N8 O11 S	172910.9012	10357.65713		1675.797184	8784.785591		697.7583599	10776.11906
559	n	158.04314	157.0359	M-H	1.253	157.03590_1.253		1139849.369	1073673.55		1356810.262	1228213.504		1017593.71	1697919.848
560	n	302.01884	301.01151	M-H	1.257	301.01151_1.257	C6 H6 N8 O5 S	125584.1641	23853.87361		14646.84004	35906.44357		6719.787751	33705.94213
561	n	115.037	114.02991	M-H	1.267	114.02991_1.267		58103.70616	49041.45978		77841.77267	41600.23865		64568.67434	96304.58687
562	n	155.0435	154.03618	M-H	1.297	154.0362_1.297	C3 H9 N O6	76152.06398	105734.4657		788173.6815	150421.3942		987883.7895	75953.09357
563	n	122.03574	121.02847	M-H	1.302	121.02847_1.302		489641.4861	395896.5191		141152.8196	159713.5919		113048.9072	184027.1695
564	n	191.0438	190.03654	M-H	1.304	2-Amino-4-hydroxypteridine-6-carbaldehyde	C7 H5 N5 O2	1291688.601	1132064.077		876000.1663	333631.8828		47228.31361	707446.7889
565	n	197.05443	196.04716	M-H	1.315	196.04716_1.315	C5 H11 N O7	225753.8748	252632.5165		266538.5324	81861.80026		231513.4508	61113.19168
566	n	189.04204	188.03477	M-H	1.381	2-oxo-1_2-dihydroquinoline-4-carboxylate	C10 H7 N O3	153926.1496	465972.7059		95100.82563	21586.76734		23057.2155	68306.57352
567	n	145.05183	144.04456	M-H	1.383	144.04456_1.383	C3 H8 N5 P	47182.25542	140458.311		25204.68322	6667.056404		6182.257938	16769.4164
568	n	282.09675	281.08945	M-H	1.462	281.08945_1.462	C9 H19 N2 O6 P	62531.86422	52387.54626		17219.85324	20674.24326		277881.4553	18915.98565
569	n	193.05948	192.05215	M-H	1.501	beta-D-glucuronamide	C6 H11 N O6	55189.12103	397093.3012		68384.77635	12387.34003		2012.508806	28224.56577
570	n	243.18348	242.17615	M-H	1.505	N-Undecanoylglycine	C13 H25 N O3	524984.9916	1185502.093		167685.0028	186104.5464		209357.1127	2178345.683
571	n	138.04199	137.0347	M-H	1.543	137.03470_1.543		216585.4529	208991.7713		74663.0623	123356.2903		28880.00868	72223.35669
572	n	288.07843	287.07117	M-H	1.543	287.07117_1.543	C9 H21 O6 P S	431045.7933	539261.8982		492270.1511	280032.9733		276796.1899	872968.1101
573	n	115.02585	114.0186	M-H	1.552	114.0186_1.552		288081.1447	312454.0828		139774.7993	17024.75295		357164.3575	128137.0508
